
Version        Name                                                                                                           Vendor                                  InstallState IdentifyingNumber                     
16.64.26515    Microsoft .NET Core Host - 2.1.0 (x64)                                                                         Microsoft Corporation                              5 {C11A2F67-92AB-4735-89AD-16779117F462}
16.68.26606    Microsoft .NET Core Host - 2.1.1 (x64)                                                                         Microsoft Corporation                              5 {009F24CC-E2B4-4E04-A38E-7210273FD2E2}
16.112.27818   Microsoft .NET Core Host - 2.1.12 (x64)                                                                        Microsoft Corporation                              5 {C57CFD83-4BD5-4E3B-8007-047B7267FF6C}
16.72.26629    Microsoft .NET Core Host - 2.1.2 (x64)                                                                         Microsoft Corporation                              5 {EC4675DA-09B7-4A0D-A108-6BB905D1F195}
16.76.26725    Microsoft .NET Core Host - 2.1.3 (x64)                                                                         Microsoft Corporation                              5 {0FAE61D2-1DDB-4019-A176-5262313CD708}
16.80.26814    Microsoft .NET Core Host - 2.1.4 (x64)                                                                         Microsoft Corporation                              5 {A957EF88-4520-496D-82A5-642599AC8B71}
16.84.26919    Microsoft .NET Core Host - 2.1.5 (x64)                                                                         Microsoft Corporation                              5 {D2ECD013-8AD5-405B-9624-59568BA92FFD}
16.88.27019    Microsoft .NET Core Host - 2.1.6 (x64)                                                                         Microsoft Corporation                              5 {33E08F6D-31B5-462C-8DD1-335DA8A88B91}
16.92.27130    Microsoft .NET Core Host - 2.1.7 (x64)                                                                         Microsoft Corporation                              5 {CA319594-6CAC-4E8F-94AC-805387284E41}
16.100.27415   Microsoft .NET Core Host - 2.1.9 (x64)                                                                         Microsoft Corporation                              5 {995C9CE3-8CFE-4461-8682-F0A54FAA51EE}
16.128.27110   Microsoft .NET Core Host - 2.2.0 (x64)                                                                         Microsoft Corporation                              5 {77480DDB-D7CA-4E08-8F9E-2E832A8B7C43}
16.0.25521     Microsoft .NET Core Host FX Resolver - 2.0.0 (x64)                                                             Microsoft Corporation                              5 {EFF72D79-E9BA-44B2-8187-DBC6D69E7F22}
16.0.25521     Microsoft .NET Core Host FX Resolver - 2.0.0 (x86)                                                             Microsoft Corporation                              5 {ABD078C4-57E5-42DD-A89B-212067BAD06D}
16.12.25816    Microsoft .NET Core Host FX Resolver - 2.0.3 (x64)                                                             Microsoft Corporation                              5 {7BBA8A68-0EB8-4236-A1B0-CF887C47E9D9}
16.20.26021    Microsoft .NET Core Host FX Resolver - 2.0.5 (x64)                                                             Microsoft Corporation                              5 {D8F37D18-2AB9-48EE-A5FC-50782A41EC5C}
