
Version         Name                                                                          Vendor                                  InstallState IdentifyingNumber                     
14.0.1000.169   Microsoft SQL Server 2017 Setup (English)                                     Microsoft Corporation                              5 {405252DC-ADF7-4BC8-95F5-F89DE513DD62}
14.0.1000.169   Microsoft SQL Server 2017 T-SQL Language Service                              Microsoft Corporation                              5 {C8A51693-98B9-4AB1-91B8-9A1B86729D5F}
14.0.3015.40    Microsoft System CLR Types for SQL Server 2017                                Microsoft Corporation                              5 {AC92C896-149B-4254-80CF-D1FC8BF4E831}
15.0.1200.24    Microsoft System CLR Types for SQL Server 2019 CTP2.2                         Microsoft Corporation                              5 {725CC962-98BD-42C7-87D8-51C680FB1779}
15.0.1200.24    Microsoft System CLR Types for SQL Server 2019 CTP2.2                         Microsoft Corporation                              5 {8D7CE3B0-5379-46FE-9F4B-A65D9F4CC1F1}
9.0.30729       Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.17                  Microsoft Corporation                              5 {8220EEFE-38CD-377E-8595-13398D740ACE}
9.0.30729       Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17                  Microsoft Corporation                              5 {9A25302D-30C0-39D9-BD6F-21E6EC160475}
10.0.40219      Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219                   Microsoft Corporation                              5 {1D8E6291-B0D5-35EC-8441-6616F567A0F7}
10.0.40219      Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219                   Microsoft Corporation                              5 {F0C3E5D1-1ADE-321E-8167-68EF0DE699A5}
12.0.40660      Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40660                 Microsoft Corporation                              5 {5740BD44-B58D-321A-AFC0-6D3D4556DD6C}
12.0.40660      Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40660                    Microsoft Corporation                              5 {CB0836EC-B072-368D-82B2-D3470BF95707}
12.0.40660      Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40660                 Microsoft Corporation                              5 {7DAD0258-515C-3DD4-8964-BD714199E0F7}
12.0.40660      Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40660                    Microsoft Corporation                              5 {E30D8B21-D82D-3211-82CC-0F0A5D1495E8}
14.23.27820     Microsoft Visual C++ 2019 X64 Additional Runtime - 14.23.27820                Microsoft Corporation                              5 {9CA7111B-263D-45DE-B898-61FAD30B3237}
14.23.27820     Microsoft Visual C++ 2019 X64 Debug Runtime - 14.23.27820                     Microsoft Corporation                              5 {05360E8D-2964-400C-8C25-1921B7F5CA49}
14.23.27820     Microsoft Visual C++ 2019 X64 Minimum Runtime - 14.23.27820                   Microsoft Corporation                              5 {A94EC1B2-932B-49D7-8AF2-4FBD29FF314B}
14.23.27820     Microsoft Visual C++ 2019 X86 Additional Runtime - 14.23.27820                Microsoft Corporation                              5 {86BE78D9-65A1-4E69-86F8-C1F5281F8553}
14.23.27820     Microsoft Visual C++ 2019 X86 Debug Runtime - 14.23.27820                     Microsoft Corporation                              5 {9A4726E2-D6D1-46F9-80BC-A0E033EE8E88}
14.23.27820     Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.23.27820                   Microsoft Corporation                              5 {00AC3934-26B4-406E-807C-1692AC7329EC}
10.0.50908      Microsoft Visual Studio 2010 Tools for Office Runtime (x64)                   Microsoft Corporation                              5 {9495AEB4-AB97-39DE-8C42-806EEF75ECA7}
2.3.2200.14893  Microsoft Visual Studio Setup Configuration                                   Microsoft Corporation                              5 {EECD89A4-F3F0-47BE-ACCF-ADFFCF2E1769}
14.0.1000.169   Microsoft VSS Writer for SQL Server 2017                                      Microsoft Corporation                              5 {20B328C9-C6BB-434A-928A-00F05CD820B8}
10.0.2606       Microsoft Web Deploy 4.0                                                      Microsoft Corporation                              5 {BBCDB523-F5B7-4E53-A911-C85191E3BDF0}
5.0.50430.0     Microsoft Web Platform Installer 5.0                                          Microsoft Corporation                              5 {4D84C195-86F0-4B34-8FDE-4A17EB41306A}
24.0.28113      Microsoft Windows Desktop Runtime - 3.0.0 (x64)                               Microsoft Corporation                              5 {A68A4AC6-B290-44CD-9ED1-F57C844F1973}
24.0.28113      Microsoft Windows Desktop Runtime - 3.0.0 (x86)                               Microsoft Corporation                              5 {3906E74A-335B-41DE-BD74-5E72D56E9A02}
24.0.28113      Microsoft Windows Desktop Targeting Pack - 3.0.0 (x64)                        Microsoft Corporation                              5 {2F73ED2D-BE1A-4BB4-BEAC-3FF49D8FF81E}
10.1.16299.15   MSI Development Tools                                                         Microsoft Corporation                              5 {973CACA2-E018-065B-0580-F2784802E299}
10.1.17134.12   MSI Development Tools                                                         Microsoft Corporation                              5 {1E406B46-65F4-91CE-65DA-DB66D5443B68}
10.1.17763.132  MSI Development Tools                                                         Microsoft Corporation                              5 {6C961B30-A670-8A05-3BFE-3947E84DD4E4}
10.1.18362.1    MSI Development Tools                                                         Microsoft Corporation                              5 {DB4DB790-64DD-1902-4BF2-833B3B6DBCA1}
8.100.26898     MSI Development Tools                                                         Microsoft Corporation                              5 {CF3A1CA6-5E5E-B4BD-6CF1-363056816CA2}
2.5.5631        Open XML SDK 2.5 for Microsoft Office                                         Microsoft Corporation                              5 {3EA16E23-14D2-466A-8268-D7CD40DC46B6}
6.2.0.0         PowerShell 6-x64                                                              Microsoft Corporation                              5 {69C0AFAD-2B31-4906-BDD3-8016DAAD82BC}
10.1.18362.1    SDK ARM Additions                                                             Microsoft Corporation                              5 {73681F86-CD86-4208-572F-959B45430B04}
10.1.18362.1    SDK ARM Redistributables                                                      Microsoft Corporation                              5 {67EE3804-9642-62BA-EBF1-B1561FB4ECBE}
8.100.26936     SDK Debuggers                                                                 Microsoft Corporation                              5 {9274C832-3D8A-A294-FDE8-8B9272357098}
